exam_id,file_name,exam_title,exam_date,question_number,prompt,option_a,option_b,option_c,option_d,correct_answer,correct_index
92955*,mahat_tests_search (10).pdf,הנדסת קול1,"קיץ תשע""ט – 2019 – מועדב'",1,אילו רכיבים משמשים למניעת מעבר מתח ישר בין הדרגות השונות בקונסולה,טרנזיסטורים.,דיודות המחוברות כגשר דיודות.,קבלים.,סלילים.,א,0
92955*,mahat_tests_search (10).pdf,הנדסת קול1,"קיץ תשע""ט – 2019 – מועדב'",2,במיקרופון קונדנסר- לאיזה צורך משתמשים במתח הפנטום?,לאספקת מתח VCC לרכיבים האלקטרוניים,לאספקת מתח לטעינה הקיבולית של הדיאפרגמות.,לאספקת מתח למניעת היפוכי פאזה.,תשובות א' ו- ב' נכונות.,א,0
92955*,mahat_tests_search (10).pdf,הנדסת קול1,"קיץ תשע""ט – 2019 – מועדב'",3,לחיצה על כפתור ה-SOLO IN PLACE במיקסר תאפשר,"האזנה לערוץ הנבחר ללא הכלים האחרים, כולל צידוד ועוצמתו במיקס.",האזנה לערוץ הנבחר ללא הכלים האחרים וללא האפקטים שלו.,את ביטול האפשרות להאזנה בסולו.,"האזנה לערוץ הנבחר במונו בלבד, ללא צידוד.",א,0
92955*,mahat_tests_search (10).pdf,הנדסת קול1,"קיץ תשע""ט – 2019 – מועדב'",4,מתחPHANTOM הינו,מתח שמיוצר על ידי מכשיר ההקלטה לייצוב ההקלטה במכונות דיגיטליות.,מתח שמיוצר על ידי מכשיר ההקלטה לייצוב ההקלטה במכונות אנלוגיות.,מתח עבודה המסופק למיקרופונים מסוג דינאמי.,מתח עבודה המסופק למיקרופונים מסוג קונדנסר.,א,0
92955*,mahat_tests_search (10).pdf,הנדסת קול1,"קיץ תשע""ט – 2019 – מועדב'",5,"היכן בקונסולה אנלוגית נמצא, בדרך כלל, ה- HPF?",לפני ה- GAIN.,אחרי הAUX -.,לפני ה- EQ.,אחרי ה- EQ.,א,0
92955*,mahat_tests_search (10).pdf,הנדסת קול1,"קיץ תשע""ט – 2019 – מועדב'",6,"באולפן בבניה נמדד תדר עומד של85Hz . באולפן נמצאו קירותמקבילים, שחשודים ביצירת התדר העומד. מידות האולפן הן: רוחב- 3.2 מטרים, עומק- 4.2 מטרים וגובהו- 4 מטרים (מהירות הקול- 340 מטר בשנייה). מה, לדעתכם, עלינו לשנות באולפן כדי למנוע את התדר העומד",יש לשנות את זווית הקירות הצדדיים.,יש להטות את הקיר הקדמי.,יש לתת זוויות בתקרה.,אי אפשר להיפטר מתדרים עומדים מסוג זה.,א,0
92955*,mahat_tests_search (10).pdf,הנדסת קול1,"קיץ תשע""ט – 2019 – מועדב'",7,באמצעות איזה סיגנל נהוג לכייל את העוצמה בין מכשירים אנלוגיים,1000 Hz sine tone.,"10,000 Hz sine tone.",PINK NOISE.,WHITE NOISE.,א,0
92955*,mahat_tests_search (10).pdf,הנדסת קול1,"קיץ תשע""ט – 2019 – מועדב'",8,להקלטה בשיטת MS כיוםנשתמש ב:,מיקרופון באפיון אומני והמיקרופון השני באפיון קרדיואיד.,מיקרופון באפיון קרדיואיד והמיקרופון השני באפיון 8.,שני מיקרופונים באפיון 8.,שני מיקרופונים באפיון אומני.,א,0
92955*,mahat_tests_search (10).pdf,הנדסת קול1,"קיץ תשע""ט – 2019 – מועדב'",9,"מהם החסרונות של חיבור מספררמקולים בעלי עכבה של 8 אוהם כ""א בטור למגבר, לעומת חיבור מקבילי?",קיימת ירידה באיכות הסאונד.,קיימת ירידה בהספק המתקבל.,נוצר אבדן כיווניות של הרמקולים.,נוצר אבדן של בהירות ושל פרטים בסיגנל.,א,0
92955*,mahat_tests_search (10).pdf,הנדסת קול1,"קיץ תשע""ט – 2019 – מועדב'",10,"כאשר מנתקים את הסיכוך בכבל מאוזן, באחד הצדדים בלבד:",הסיגנל יתמלא ברעשים אלקטרו סטטיים.,הסיגנל יתהפך בפאזה.,לא יהיה ניתן להפסיק זמזום שייווצר מהארקות כפולות.,לא יהיה ניתן להעביר על פני הכבל מתח פאנטום.,א,0
92955*,mahat_tests_search (10).pdf,הנדסת קול1,"קיץ תשע""ט – 2019 – מועדב'",11,עקומה פולארית של מיקרופון מתארת את,רגישות המיקרופון לתדרים שונים ביחס לעוצמת מקור הצליל.,רגישות המיקרופון לתדרים שונים ביחס למיקום מקור הצליל.,רגישות המיקרופון לעוצמה ביחס לתדרים המתקבלים ממקור הצליל.,רגישות המיקרופון לתדרים שונים ביחס לעוצמת מקור הצליל.,א,0
92955*,mahat_tests_search (10).pdf,הנדסת קול1,"קיץ תשע""ט – 2019 – מועדב'",12,"בהקלטה שאנו מבצעים, אנו משתמשים בקדם מגבר חיצוני איכותי. אם ברצוננו להשתמש בפיידר בקונסולה שבאולפן לצורך קביעת עוצמת ההקלטה הסופית, באיזו כניסה נחבר את יציאת הקדם מגבר כדי לקבל את ה- Signal Pass הנקי והקצר ביותר?",LINE IN.,INSERT RETURN.,MIC IN.,AUX IN.,א,0
92955*,mahat_tests_search (10).pdf,הנדסת קול1,"קיץ תשע""ט – 2019 – מועדב'",13,על איזה עקרון עובד ראש הקלטה בטייפ סלילים,על שינויי פאזות.,על שינויים בשטף המגנטי.,על קיבוליות משתנה.,על התנגדות משתנה.,א,0
92955*,mahat_tests_search (10).pdf,הנדסת קול1,"קיץ תשע""ט – 2019 – מועדב'",14,"חיברתי4 רמקולים בעלי עכבה שלohm 4 כ""א בטור למגבר. העכבה, המתקבלת כתוצאה מכך, היא:",2 ohm.,4 ohm.,8 ohm.,16 ohm.,א,0
92955*,mahat_tests_search (10).pdf,הנדסת קול1,"קיץ תשע""ט – 2019 – מועדב'",15,באיזו מידה מונחת הסיגנאל עם הכפלת המרחק ממקור הצליל,ב- 1dB.,ב-3dB .,ב-6dB .,ב-12dB .,א,0
92955*,mahat_tests_search (10).pdf,הנדסת קול1,"קיץ תשע""ט – 2019 – מועדב'",16,"היכן נמצאת, בדרך כלל, מנורת ה- OVER LOAD בערוץ טיפוסי בקונסולה",לאחר הפיידר ולפני כפתור ה- MUTE.,לאחר ה- PAN ולפני הפיידר.,לאחר קדם מגבר המיקרופון.,לאחר ה- EQ.,א,0
92955*,mahat_tests_search (10).pdf,הנדסת קול1,"קיץ תשע""ט – 2019 – מועדב'",17,כיצד נחבר מכשירDelay בקונסולה של הופעות חיות,"בטור, בחיבור INSERT.","במקביל, מיציאת AUX וחזרה לLINE IN .","בטור, מיציאת ה- Direct Out של המאסטר","במקביל, מיציאת INSERT של הGROUP.",א,0
92955*,mahat_tests_search (10).pdf,הנדסת קול1,"קיץ תשע""ט – 2019 – מועדב'",18,"מה תהיה מידת ההנחתה היחסית לתדר של- 200Hz, בשימוש ב-HPF בעל עקומה של- 12dB/octave , המכוון לתדר של800Hz -?",6dB,12dB,18dB,24dB,א,0
92955*,mahat_tests_search (10).pdf,הנדסת קול1,"קיץ תשע""ט – 2019 – מועדב'",19,"יש הטוענים, שההגבר של מגבר מנורות מייצר ""צליל חם"" יותר ממגבר, המבוסס על טרנזיסטורים מדוע הם סבורים כך?",בשל הטמפרטורה החמה שיוצרות המנורות מסביבן.,"המנורה נוטה להגביר הרמוניות זוגיות, וכך הצליל נשמע הרמוני ועשיר יותר.","המנורה נוטה להגביר יותר את ההרמוניות האי זוגיות, ולכן הצליל עשיר יותר בנמוכים.","בשל הסריג שמתלהט וגורם לסיגנל, העובר דרכו, להישמע חם יותר.",א,0
92955*,mahat_tests_search (10).pdf,הנדסת קול1,"קיץ תשע""ט – 2019 – מועדב'",20,במצב שבו הזמר מתקרב מאוד למיקרופון התוצאה תהיה,הנחתה של תדרים גבוהים.,הנחתה של תדרים נמוכים.,הגברה של תדרים גבוהים.,הגברה של תדרים נמוכים.,א,0
92955*,mahat_tests_search (10).pdf,הנדסת קול1,"קיץ תשע""ט – 2019 – מועדב'",21,"היכן מחבריםEQ לערוץ, שבו אנו רוצים לטפל במיקסר אנלוגי",בין מוצא מכשיר ההקלטה ובין הכניסה למיקסר.,בכניסתAUX של הערוץ במיקסר,בחיבור INSERT של אותו הערוץ,ביציאת Direct Out של אותו הערוץ,א,0
92955*,mahat_tests_search (10).pdf,הנדסת קול1,"קיץ תשע""ט – 2019 – מועדב'",22,"במכשיר למדידת עצמת SPL ,באיזו מסננת נבחר לצורך מדידת צלילים בכל תחום התדרים שבין 30 ל- 16,000 הרץ בצורהשווה?",A WEIGHT,B WEIGHT,C WEIGHT,D WEIGHT,א,0
92955*,mahat_tests_search (10).pdf,הנדסת קול1,"קיץ תשע""ט – 2019 – מועדב'",23,"מהי, בקירוב, עוצמת הרעש, הנמדדת בשיחה שקטה בין שני אנשים בחדר שקט?",30dB,60dB,90dB,120dB,א,0
92955*,mahat_tests_search (10).pdf,הנדסת קול1,"קיץ תשע""ט – 2019 – מועדב'",24,מהו Base reflex/Vent port?,רמקול בעל כיווניות מדויקת במיוחד לתדרים נמוכים.,רמקול בעל תיבה אטומה המגבירה תדרים נמוכים.,"רמקול בעל פתח המאפשר הגברת תדרים נמוכים, המוגדרים מראש.",רמקולים בעלי תיבה נפרדת ל- SUB BASE .,א,0
92955*,mahat_tests_search (10).pdf,הנדסת קול1,"קיץ תשע""ט – 2019 – מועדב'",25,לאיזו צורת גל יהיו מינימום הרמוניות,שן מסור,סינוס,קוסינוס,ריבועי,א,0
92955*,mahat_tests_search (10).pdf,הנדסת קול1,"קיץ תשע""ט – 2019 – מועדב'",26,"בזמן הקלטת מספר נגנים באולפן, במידה שנרצה לשמוע כלי בודד, נשתמש",בכפתור Solo in Place.,בכפתור PFL.,באמצעי ניתוב לגרופים פנויים.,באמצעות חיבור האוזניות לאינסרט של הערוץ.,א,0
92955*,mahat_tests_search (10).pdf,הנדסת קול1,"קיץ תשע""ט – 2019 – מועדב'",27,"בקומפרסור ה- Threshold, המכוון ל-8dBu, כיצד יושפע סיגנל, שעוצמתו הממוצעת הינה-20dBu , ועוצמתו המרבית היא-12dBu?",הוא יונחת ב- 4dBu.,הוא יוגבר ב- 4dBu.,הוא ייכנס לרוויה.,הוא לא יושפע כלל.,א,0
92955*,mahat_tests_search (10).pdf,הנדסת קול1,"קיץ תשע""ט – 2019 – מועדב'",28,מהירות הקול במים,גבוהה ממהירות הקול באוויר.,שווה למהירות הקול באוויר.,איטית ממהירות הקול באוויר.,גלי הקול אינם עוברים במים.,א,0
92955*,mahat_tests_search (10).pdf,הנדסת קול1,"קיץ תשע""ט – 2019 – מועדב'",29,"מהו מספר האוזניות, שניתן לחבר במקביל כדי לקבל התנגדות סופית של 4 אוהם, אם ידוע שהתנגדות כל אוזניה היא 64 אוהם?",4 אוזניות.,8 אוזניות.,12 אוזניות.,16 אוזניות.,א,0
92955*,mahat_tests_search (10).pdf,הנדסת קול1,"קיץ תשע""ט – 2019 – מועדב'",30,מהו החיסרון בהצבת הקלטה סטריאופונית מסוגAB?,מתקבלת תמונה סטריאופונית צרה.,היענות התדרים היא נמוכה.,נוצרות בעיות של פאזה.,נוצרות בעיות של RT גבוה,א,0
92955*,mahat_tests_search (10).pdf,הנדסת קול1,"קיץ תשע""ט – 2019 – מועדב'",31,"האות בכניסה לקומפרסור, ביחס של 4:1, נמדד ב- –20dBFS. הסף מכויל ל- –40dBFS . מה תהיה עוצמת האות ביציאה, בהנחה שה- Makeup gain=0?",-30dBFS,-35dBFS,-40dBFS,-45dBFS,א,0
92955*,mahat_tests_search (10).pdf,הנדסת קול1,"קיץ תשע""ט – 2019 – מועדב'",32,"EQ, המנחית קבוצת תדרים מתחת לתדר מסוים, נקרא",Parametric Eq.,Graphic Eq.,High pass filter.,Band shelf filter.,א,0
92955*,mahat_tests_search (10).pdf,הנדסת קול1,"קיץ תשע""ט – 2019 – מועדב'",33,מהי מהירות הקול בגובה פני הים?,343 קילומטר בשעה,343 קילומטר בשנייה,343 מטר בשעה,343 מטר בשנייה,א,0
92955*,mahat_tests_search (10).pdf,הנדסת קול1,"קיץ תשע""ט – 2019 – מועדב'",34,מהו הרכיב הדומיננטי בקופסתDirect Box Passive ?,קבל משתנה.,גשר דיודות.,שנאי.,רשת נגדים.,א,0
92955*,mahat_tests_search (10).pdf,הנדסת קול1,"קיץ תשע""ט – 2019 – מועדב'",35,"במסנןHPF של24dB/Octave, שכוון לתדר90Hz- מה תהיה עוצמת הסיגנל היחסית בתדר של45Hz?",-12 dB,-15 dB,-24 dB,-28 dB,א,0
92955*,mahat_tests_search (10).pdf,הנדסת קול1,"קיץ תשע""ט – 2019 – מועדב'",36,"היכן, במעגל החשמלי של קונסולה אנלוגית, נמצא ה- PAN?",לפני ה- EQ.,אחרי הFADER -.,לפני ה- AUX.,אחרי ה- EQ.,א,0
92955*,mahat_tests_search (10).pdf,הנדסת קול1,"קיץ תשע""ט – 2019 – מועדב'",37,"במגבר שרת- מהו הרכיב, הקובע את עוצמת ההגברה?",הקבל הקובע את עוצמת מתח העירור של מעגל השרת.,הנגד הקובע את כמות ההיזון החוזר.,קבל המוצא של דרגת ההגברה.,הנגד הקובע את מתח ה- VCC.,א,0
92955*,mahat_tests_search (10).pdf,הנדסת קול1,"קיץ תשע""ט – 2019 – מועדב'",38,"בקומפרסור, המשמש כלימיטר, אילו ערכים ניתן לפרמטר היחס?",2/1,4/1,8/1,20/1,א,0
92955*,mahat_tests_search (10).pdf,הנדסת קול1,"קיץ תשע""ט – 2019 – מועדב'",39,מה נכון לגביקו מאוזן?,הסיכוך מעביר את האות וגם משמש כסיכוך.,הסיכוך אינו מעביר את האות.,הסיכוך מחובר לרגל 3.,הסיכוך מעביר סיגנל הפוך בפאזה לאות המקורי.,א,0
